ano,estado,estado_cod,ntl_idx,fuente
2001,Sucre,SU,10.2262,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Tachira,TA,9.7695,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Trujillo,TR,9.4721,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Vargas,VA,25.9335,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Yaracuy,YA,11.4467,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2001,Zulia,ZU,12.894,Li et al. (2020/2024) Figshare:9828827 file:17626088 Harmonized NTL 2001 calDMSP
2002,Amazonas,AM,15.1289,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Anzoategui,AN,13.8383,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Apure,AP,12.1674,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Aragua,AR,20.4111,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Barinas,BA,11.4298,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Bolivar,BO,14.9601,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Carabobo,CA,17.8788,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Cojedes,CO,15.3184,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Delta Amacuro,DE,11.7024,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Dependencias Fed.,DF,15.8917,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Distrito Capital,DC,45.8582,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Falcon,FA,9.9831,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Guarico,GU,12.5584,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Lara,LA,11.8953,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Merida,ME,9.8735,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Miranda,MI,20.4327,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Monagas,MO,12.2622,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Nueva Esparta,NE,21.7984,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Portuguesa,PO,10.9366,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Sucre,SU,9.7678,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Tachira,TA,11.5715,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Trujillo,TR,10.6087,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Vargas,VA,26.0671,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Yaracuy,YA,11.9303,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2002,Zulia,ZU,14.807,Li et al. (2020/2024) Figshare:9828827 file:17626091 Harmonized NTL 2002 calDMSP
2003,Amazonas,AM,14.557,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Anzoategui,AN,13.8587,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Apure,AP,12.13,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Aragua,AR,21.7459,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Barinas,BA,11.4255,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Bolivar,BO,14.4283,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Carabobo,CA,19.3969,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Cojedes,CO,17.4966,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Delta Amacuro,DE,12.5317,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Dependencias Fed.,DF,17.1502,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Distrito Capital,DC,46.091,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Falcon,FA,10.2577,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Guarico,GU,12.6369,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Lara,LA,12.7279,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Merida,ME,10.0847,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Miranda,MI,21.684,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Monagas,MO,12.8768,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Nueva Esparta,NE,24.7674,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Portuguesa,PO,11.367,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Sucre,SU,10.5568,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Tachira,TA,12.4177,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Trujillo,TR,10.8252,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Vargas,VA,28.3596,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Yaracuy,YA,13.4852,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2003,Zulia,ZU,12.1875,Li et al. (2020/2024) Figshare:9828827 file:17626094 Harmonized NTL 2003 calDMSP
2004,Amazonas,AM,12.2412,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Anzoategui,AN,12.6516,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Apure,AP,11.4632,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Aragua,AR,20.8869,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Barinas,BA,11.0476,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Bolivar,BO,13.1568,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
2004,Carabobo,CA,18.7137,Li et al. (2020/2024) Figshare:9828827 file:17626097 Harmonized NTL 2004 calDMSP
