model,horizon,n,mae,rmse,bias,n_intervals,inside_80,inside_95
naive,1,21,4.181,5.4967,1.1124,21,0.7619,0.9524
naive,3,21,5.9914,8.0141,-0.0,21,0.7619,1.0
naive,6,20,5.996,7.3452,-1.412,20,0.9,1.0
sarima,1,20,4.9491,6.0633,-2.0626,20,0.9,1.0
sarima,3,20,6.46,8.0798,-2.6453,20,0.85,1.0
sarima,6,19,8.0574,9.8932,-4.6228,19,0.9474,1.0
seasonal_naive,1,21,8.5419,10.3078,-1.9629,0,,
seasonal_naive,3,21,7.3914,9.3081,-2.7857,0,,
seasonal_naive,6,20,9.5475,10.8488,-2.1185,0,,
