origin_date,target_date,horizon,model,model_spec,aic,y_true,y_pred,lower_80,upper_80,lower_95,upper_95,coverage_pct_target,absolute_error,squared_error,bias_error,inside_80,inside_95
2015-06-01,2015-07-01,1,seasonal_naive,,,68.91,79.95,,,,,82.5,11.04,121.8816,11.04,,
2015-06-01,2015-07-01,1,ets,,,68.91,72.7533,,,,,82.5,3.8433,14.7711,3.8433,,
2015-06-01,2015-09-01,3,naive,,,61.94,71.92,,,,,82.5,9.98,99.6004,9.98,,
2015-06-01,2015-09-01,3,seasonal_naive,,,61.94,75.04,,,,,82.5,13.1,171.61,13.1,,
2015-06-01,2015-09-01,3,ets,,,61.94,71.5793,,,,,82.5,9.6393,92.9159,9.6393,,
2015-06-01,2015-12-01,6,naive,,,59.29,71.92,,,,,82.5,12.63,159.5169,12.63,,
2015-06-01,2015-12-01,6,seasonal_naive,,,59.29,71.17,,,,,82.5,11.88,141.1344,11.88,,
2015-06-01,2015-12-01,6,ets,,,59.29,71.8933,,,,,82.5,12.6033,158.8437,12.6033,,
2015-09-01,2015-10-01,1,naive,,,65.28,61.94,,,,,82.5,3.34,11.1556,-3.34,,
2015-09-01,2015-10-01,1,seasonal_naive,,,65.28,73.41,,,,,82.5,8.13,66.0969,8.13,,
2015-09-01,2015-10-01,1,ets,,,65.28,63.3848,,,,,82.5,1.8952,3.5919,-1.8952,,
2015-09-01,2015-12-01,3,naive,,,59.29,61.94,,,,,82.5,2.65,7.0225,2.65,,
2015-09-01,2015-12-01,3,seasonal_naive,,,59.29,71.17,,,,,82.5,11.88,141.1344,11.88,,
2015-09-01,2015-12-01,3,ets,,,59.29,63.1049,,,,,82.5,3.8149,14.5537,3.8149,,
2015-09-01,2016-03-01,6,naive,,,66.15,61.94,,,,,82.5,4.21,17.7241,-4.21,,
2015-09-01,2016-03-01,6,seasonal_naive,,,66.15,65.21,,,,,82.5,0.94,0.8836,-0.94,,
2015-09-01,2016-03-01,6,ets,,,66.15,63.0105,,,,,82.5,3.1395,9.8565,-3.1395,,
2015-12-01,2016-01-01,1,naive,,,55.42,59.29,,,,,82.5,3.87,14.9769,3.87,,
2015-12-01,2016-01-01,1,seasonal_naive,,,55.42,64.32,,,,,82.5,8.9,79.21,8.9,,
2015-12-01,2016-01-01,1,ets,,,55.42,59.4787,,,,,82.5,4.0587,16.4728,4.0587,,
2015-12-01,2016-01-01,1,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",237.07251813233185,55.42,54.286,50.4416,58.1303,48.4066,60.1654,82.5,1.134,1.2861,-1.134,True,True
2015-12-01,2016-03-01,3,naive,,,66.15,59.29,,,,,82.5,6.86,47.0596,-6.86,,
2015-12-01,2016-03-01,3,seasonal_naive,,,66.15,65.21,,,,,82.5,0.94,0.8836,-0.94,,
2015-12-01,2016-03-01,3,ets,,,66.15,60.402,,,,,82.5,5.748,33.039,-5.748,,
2015-12-01,2016-03-01,3,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",237.07251813233185,66.15,56.003,50.8751,61.1309,48.1605,63.8455,82.5,10.147,102.9619,-10.147,False,False
2015-12-01,2016-06-01,6,naive,,,58.1,59.29,,,,,82.5,1.19,1.4161,1.19,,
2015-12-01,2016-06-01,6,seasonal_naive,,,58.1,71.92,,,,,82.5,13.82,190.9924,13.82,,
2015-12-01,2016-06-01,6,ets,,,58.1,60.559,,,,,82.5,2.459,6.0467,2.459,,
2015-12-01,2016-06-01,6,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",237.07251813233185,58.1,61.5473,55.2259,67.8687,51.8796,71.215,82.5,3.4473,11.8837,3.4473,True,True
2016-03-01,2016-04-01,1,naive,,,62.73,66.15,,,,,82.5,3.42,11.6964,3.42,,
2016-03-01,2016-04-01,1,seasonal_naive,,,62.73,70.29,,,,,82.5,7.56,57.1536,7.56,,
2016-03-01,2016-04-01,1,ets,,,62.73,65.2449,,,,,82.5,2.5149,6.3247,2.5149,,
2016-03-01,2016-06-01,3,naive,,,58.1,66.15,,,,,82.5,8.05,64.8025,8.05,,
2016-03-01,2016-06-01,3,seasonal_naive,,,58.1,71.92,,,,,82.5,13.82,190.9924,13.82,,
2016-03-01,2016-06-01,3,ets,,,58.1,64.4168,,,,,82.5,6.3168,39.9019,6.3168,,
2016-03-01,2016-09-01,6,naive,,,64.35,66.15,,,,,82.5,1.8,3.24,1.8,,
2016-03-01,2016-09-01,6,seasonal_naive,,,64.35,61.94,,,,,82.5,2.41,5.8081,-2.41,,
2016-03-01,2016-09-01,6,ets,,,64.35,62.5802,,,,,82.5,1.7698,3.1322,-1.7698,,
2016-06-01,2016-07-01,1,naive,,,63.75,58.1,,,,,82.5,5.65,31.9225,-5.65,,
2016-06-01,2016-07-01,1,seasonal_naive,,,63.75,68.91,,,,,82.5,5.16,26.6256,5.16,,
2016-06-01,2016-07-01,1,ets,,,63.75,58.8386,,,,,82.5,4.9114,24.1221,-4.9114,,
2016-06-01,2016-09-01,3,naive,,,64.35,58.1,,,,,82.5,6.25,39.0625,-6.25,,
2016-06-01,2016-09-01,3,seasonal_naive,,,64.35,61.94,,,,,82.5,2.41,5.8081,-2.41,,
2016-06-01,2016-09-01,3,ets,,,64.35,56.6986,,,,,82.5,7.6514,58.5442,-7.6514,,
2016-06-01,2016-12-01,6,naive,,,65.06,58.1,,,,,82.5,6.96,48.4416,-6.96,,
2016-06-01,2016-12-01,6,seasonal_naive,,,65.06,59.29,,,,,82.5,5.77,33.2929,-5.77,,
2016-06-01,2016-12-01,6,ets,,,65.06,56.5184,,,,,82.5,8.5416,72.9597,-8.5416,,
2016-09-01,2016-10-01,1,naive,,,65.69,64.35,,,,,82.5,1.34,1.7956,-1.34,,
2016-09-01,2016-10-01,1,seasonal_naive,,,65.69,65.28,,,,,82.5,0.41,0.1681,-0.41,,
2016-09-01,2016-10-01,1,ets,,,65.69,64.3271,,,,,82.5,1.3629,1.8575,-1.3629,,
2016-09-01,2016-12-01,3,naive,,,65.06,64.35,,,,,82.5,0.71,0.5041,-0.71,,
2016-09-01,2016-12-01,3,seasonal_naive,,,65.06,59.29,,,,,82.5,5.77,33.2929,-5.77,,
2016-09-01,2016-12-01,3,ets,,,65.06,63.0954,,,,,82.5,1.9646,3.8596,-1.9646,,
2016-09-01,2017-03-01,6,naive,,,60.25,64.35,,,,,96.0,4.1,16.81,4.1,,
2016-09-01,2017-03-01,6,seasonal_naive,,,60.25,66.15,,,,,96.0,5.9,34.81,5.9,,
2016-09-01,2017-03-01,6,ets,,,60.25,63.9313,,,,,96.0,3.6813,13.5516,3.6813,,
2016-12-01,2017-01-01,1,naive,,,61.08,65.06,,,,,96.0,3.98,15.8404,3.98,,
2016-12-01,2017-01-01,1,seasonal_naive,,,61.08,55.42,,,,,96.0,5.66,32.0356,-5.66,,
2016-12-01,2017-01-01,1,ets,,,61.08,61.5754,,,,,96.0,0.4954,0.2454,0.4954,,
2016-12-01,2017-01-01,1,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",318.69036389159936,61.08,59.2564,54.7352,63.7776,52.3418,66.1709,96.0,1.8236,3.3256,-1.8236,True,True
2016-12-01,2017-03-01,3,naive,,,60.25,65.06,,,,,96.0,4.81,23.1361,4.81,,
2016-12-01,2017-03-01,3,seasonal_naive,,,60.25,66.15,,,,,96.0,5.9,34.81,5.9,,
2016-12-01,2017-03-01,3,ets,,,60.25,63.8996,,,,,96.0,3.6496,13.3192,3.6496,,
2016-12-01,2017-03-01,3,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",318.69036389159936,60.25,60.9499,54.8077,67.092,51.5562,70.3435,96.0,0.6999,0.4898,0.6999,True,True
2016-12-01,2017-06-01,6,naive,,,56.97,65.06,,,,,96.0,8.09,65.4481,8.09,,
2016-12-01,2017-06-01,6,seasonal_naive,,,56.97,58.1,,,,,96.0,1.13,1.2769,1.13,,
2016-12-01,2017-06-01,6,ets,,,56.97,62.8841,,,,,96.0,5.9141,34.9767,5.9141,,
2016-12-01,2017-06-01,6,sarima,"SARIMA(1, 1, 1)x(1, 1, 1, 12)",318.69036389159936,56.97,62.0811,54.7087,69.4535,50.8059,73.3563,96.0,5.1111,26.1233,5.1111,True,True
2017-03-01,2017-04-01,1,naive,,,55.95,60.25,,,,,96.0,4.3,18.49,4.3,,
2017-03-01,2017-04-01,1,seasonal_naive,,,55.95,62.73,,,,,96.0,6.78,45.9684,6.78,,
2017-03-01,2017-04-01,1,ets,,,55.95,62.0572,,,,,96.0,6.1072,37.2982,6.1072,,
2017-03-01,2017-06-01,3,naive,,,56.97,60.25,,,,,96.0,3.28,10.7584,3.28,,
2017-03-01,2017-06-01,3,seasonal_naive,,,56.97,58.1,,,,,96.0,1.13,1.2769,1.13,,
2017-03-01,2017-06-01,3,ets,,,56.97,60.6857,,,,,96.0,3.7157,13.8063,3.7157,,
2017-03-01,2017-09-01,6,naive,,,57.17,60.25,,,,,96.0,3.08,9.4864,3.08,,
2017-03-01,2017-09-01,6,seasonal_naive,,,57.17,64.35,,,,,96.0,7.18,51.5524,7.18,,
2017-03-01,2017-09-01,6,ets,,,57.17,60.005,,,,,96.0,2.835,8.0372,2.835,,
2017-06-01,2017-07-01,1,naive,,,52.29,56.97,,,,,96.0,4.68,21.9024,4.68,,
2017-06-01,2017-07-01,1,seasonal_naive,,,52.29,63.75,,,,,96.0,11.46,131.3316,11.46,,
2017-06-01,2017-07-01,1,ets,,,52.29,57.1198,,,,,96.0,4.8298,23.3265,4.8298,,
2017-06-01,2017-09-01,3,naive,,,57.17,56.97,,,,,96.0,0.2,0.04,-0.2,,
2017-06-01,2017-09-01,3,seasonal_naive,,,57.17,64.35,,,,,96.0,7.18,51.5524,7.18,,
2017-06-01,2017-09-01,3,ets,,,57.17,55.3712,,,,,96.0,1.7988,3.2356,-1.7988,,
2017-06-01,2017-12-01,6,naive,,,61.82,56.97,,,,,96.0,4.85,23.5225,-4.85,,
2017-06-01,2017-12-01,6,seasonal_naive,,,61.82,65.06,,,,,96.0,3.24,10.4976,3.24,,
2017-06-01,2017-12-01,6,ets,,,61.82,55.3185,,,,,96.0,6.5015,42.2697,-6.5015,,
2017-09-01,2017-10-01,1,naive,,,62.26,57.17,,,,,96.0,5.09,25.9081,-5.09,,
2017-09-01,2017-10-01,1,seasonal_naive,,,62.26,65.69,,,,,96.0,3.43,11.7649,3.43,,
2017-09-01,2017-10-01,1,ets,,,62.26,54.6041,,,,,96.0,7.6559,58.6131,-7.6559,,
2017-09-01,2017-12-01,3,naive,,,61.82,57.17,,,,,96.0,4.65,21.6225,-4.65,,
2017-09-01,2017-12-01,3,seasonal_naive,,,61.82,65.06,,,,,96.0,3.24,10.4976,3.24,,
2017-09-01,2017-12-01,3,ets,,,61.82,53.4582,,,,,96.0,8.3618,69.919,-8.3618,,
2017-09-01,2018-03-01,6,naive,,,59.92,57.17,,,,,96.0,2.75,7.5625,-2.75,,
2017-09-01,2018-03-01,6,seasonal_naive,,,59.92,60.25,,,,,96.0,0.33,0.1089,0.33,,
2017-09-01,2018-03-01,6,ets,,,59.92,53.5158,,,,,96.0,6.4042,41.0142,-6.4042,,
2017-12-01,2018-01-01,1,naive,,,58.32,61.82,,,,,96.0,3.5,12.25,3.5,,
2017-12-01,2018-01-01,1,seasonal_naive,,,58.32,61.08,,,,,96.0,2.76,7.6176,2.76,,
2017-12-01,2018-01-01,1,ets,,,58.32,60.0941,,,,,96.0,1.7741,3.1475,1.7741,,
