pais_iso3,año,gdp_growth_pct,inflation_cpi_pct,reserves_months_imports,electricity_kwh_pc,fdi_pct_gdp,exports_pct_gdp,unemployment_pct,life_expectancy,electricity_access_pct
BOL,2000,2.50781080899505,4.60822998872598,5.81670329014228,400.867919713941,8.76830997312938,18.2747449737713,2.439,62.057,70.0
BOL,2001,1.68379912721821,1.58965377879567,5.94829777776831,404.444964408843,8.66860569359696,19.972149230267,2.623,62.538,69.3
BOL,2002,2.48556573783827,0.928258851611069,4.50131607787646,418.185566755483,8.55789350643914,21.6344550841802,2.603,63.068,64.0
BOL,2003,2.7113398370071,3.33727499671533,5.43532876987444,427.701724728474,2.442343967183,25.6007344519017,2.654,63.455,72.3
BOL,2004,4.17329558916195,4.43738080101724,5.46543467305688,438.925904852815,0.745772608696722,31.1383905185998,2.615,63.819,75.9
BOL,2005,4.42143312687995,5.39323106890663,6.40649909287839,467.163222107963,-2.49886824544741,35.5481429306567,2.598,64.182,68.3
BOL,2006,4.79700882356046,4.28239604802561,9.37204798379075,465.568661190257,2.45168756123775,41.771714268103,2.575,64.529,76.2
BOL,2007,4.56438426887904,8.70560923578869,12.7540483336771,497.730736034425,2.79185385749299,41.7956567530236,2.614,64.939,80.2
BOL,2008,6.14849787462195,14.0068107702519,13.9075607250718,533.760612527356,3.07261074755318,44.9065559925589,2.603,65.299,84.7
BOL,2009,3.35699957430558,3.34645420142013,16.9731188816585,550.304379622165,2.43967814560444,35.7226248254274,2.973,65.656,86.8
BOL,2010,4.12672259105658,2.5032760584424,16.3857710293463,578.255794711336,3.16542867647895,41.1874561416131,2.609,66.003,88.0
BOL,2011,5.20409244308591,9.88446419823883,14.5395432623436,610.787840944701,3.58442251378885,44.0917018533308,2.255,66.282,88.3
BOL,2012,5.12227558091767,4.51560291399375,14.2940101225455,635.329271448211,3.9135501461408,47.1661966249317,2.066,66.586,90.4
BOL,2013,6.79601142810857,5.73640023719606,13.1780618394727,666.878350305469,5.7066221190291,44.0924795250944,2.437,66.777,89.5
BOL,2014,5.46056950635116,5.76660074579143,12.3373986202358,695.647332703591,1.98982485629696,43.2930879909317,2.021,66.97,90.0
BOL,2015,4.8571871797142,4.05961041135644,11.9126085142484,746.547456332239,1.68072787961335,30.8682960291245,3.111,67.205,91.5
BOL,2016,4.26392086382097,3.62321431764138,10.4472997333726,761.447653939796,0.988080149462259,24.4880055394464,3.498,67.392,91.8
BOL,2017,4.19520633360403,2.8227580554717,9.41959767332488,772.879612100467,1.55130384811576,19.5388666685088,3.655,67.536,91.8
BOL,2018,2.86808404814794,2.27205987230154,7.90914049803566,791.597905106962,0.624547731622922,20.3550589285544,3.519,67.699,92.8
BOL,2019,1.50672102666863,1.83954504969025,5.98827234781854,802.818105750251,-0.44160551411852,20.0474399352249,3.682,67.82,95.1
BOL,2020,-12.7194690092717,0.940742153381849,7.32588143490116,770.291950127531,-2.66931283946252,16.8717531697786,7.903,62.906,97.2
BOL,2021,10.0290488827886,0.737383721452274,5.03194280625603,834.020252384112,1.21888494970059,23.5525156265644,5.089,61.427,98.6
BOL,2022,3.74741781241461,1.74632872945968,3.03722996337965,859.639613769933,0.0122391923945909,27.7939915042015,3.552,67.434,99.9
BOL,2023,2.51636590154891,2.57688800489192,1.5026672387796,890.13871838809,0.458812480265399,22.4028095381649,3.024,68.581,99.8
BOL,2024,-1.12335595517212,5.09976568317427,1.86110946081755,,0.652112801170427,21.4350624296,3.274,68.739,
COL,2000,2.92486148176778,9.22534818585365,6.1180706614625,857.433015875647,2.43950747934181,15.915139715438,20.52,70.905,95.2
COL,2001,1.67789830787579,7.96556090304834,6.35050313316504,877.981565106901,2.58851936306874,15.3871357665009,15.04,71.185,98.5
COL,2002,2.50398046659659,6.35150728778872,6.88344697376659,885.338705725625,2.17844751407948,14.8155696775272,14.481,71.537,94.9
COL,2003,3.91827190322513,7.1297886294186,6.38908287123236,888.258029100948,1.81783931129221,16.5752997117627,13.221,72.309,95.1
COL,2004,5.33302206759905,5.90402005546502,6.5394329700927,924.050790441587,2.66083488771203,16.7707514248023,13.717,72.76,95.3
COL,2005,4.82876110773741,5.05101962689695,5.66028976102223,920.577777143746,7.02979401438219,16.9710437391629,11.062,73.156,96.8
COL,2006,6.71686869844402,4.29342363628926,4.86472956969639,972.685537804568,4.17238510059526,17.7285877506525,11.088,73.497,95.7
COL,2007,6.73819469090975,5.54438485815155,5.20777056364352,1000.24577097448,4.30867680626701,16.4331421263646,11.204,73.751,96.0
COL,2008,3.28344618616541,6.9968849555451,4.91891189527839,999.821567351652,4.35627834630067,18.1095951350739,11.273,74.206,96.8
COL,2009,1.13964864548062,4.20251661216481,5.98237462562041,1077.28348556921,3.45627065154005,16.4244956875755,12.066,74.531,96.1
COL,2010,4.49465897070922,2.27200227892008,5.43925016289305,1132.35899630346,2.24433595561184,16.3408447597691,11.153,74.876,96.8
