pais_iso3,año,wgi_composite
BOL,2000,51.09368874999999
BOL,2002,48.79108233333333
BOL,2003,47.03954469999999
BOL,2004,47.71178895
BOL,2005,46.733275166666665
BOL,2006,46.926180483333326
BOL,2007,46.439986266666665
BOL,2008,45.74409755
BOL,2009,46.44340328333333
BOL,2010,47.43655076666666
BOL,2011,46.709010400000004
BOL,2012,45.47609183333333
BOL,2013,46.21206688333333
BOL,2014,45.59063281666666
BOL,2015,45.008137166666664
BOL,2016,44.831993716666666
BOL,2017,44.78827366666667
BOL,2018,44.26685311666666
BOL,2019,41.683916149999995
BOL,2020,42.969242400000006
BOL,2021,42.996954433333336
BOL,2022,42.900845
BOL,2023,42.50109723333333
BOL,2024,40.51303425
COL,2000,40.57721565
COL,2002,41.74808253333333
COL,2003,43.39567813333333
COL,2004,46.576649616666664
COL,2005,46.42828828333333
COL,2006,47.23053711666666
COL,2007,48.24744185
COL,2008,48.686501
COL,2009,47.801636916666666
COL,2010,48.7748401
COL,2011,50.867119949999996
COL,2012,49.259886216666665
COL,2013,49.188566733333325
COL,2014,50.19731085
COL,2015,51.11909028333333
COL,2016,51.337893699999995
COL,2017,50.993620066666665
COL,2018,51.60288918333333
COL,2019,51.43955998333333
COL,2020,51.7741829
COL,2021,50.86451601666666
COL,2022,51.51911555
COL,2023,51.00040168333333
COL,2024,50.0432358
ECU,2000,42.20437075
ECU,2002,42.16698793333333
ECU,2003,42.63955413333333
ECU,2004,42.990258000000004
ECU,2005,42.38277468333333
ECU,2006,42.07030511666667
ECU,2007,42.97836701666666
ECU,2008,42.60784494999999
ECU,2009,43.15373518333333
ECU,2010,42.88182056666667
ECU,2011,43.6246662
ECU,2012,44.02443283333333
ECU,2013,46.22870695
ECU,2014,46.84952981666666
ECU,2015,45.26036773333333
ECU,2016,45.93709155
ECU,2017,46.239771366666666
ECU,2018,47.822334516666665
ECU,2019,48.42130976666667
ECU,2020,48.307917233333335
ECU,2021,49.65313989999999
ECU,2022,49.5752976
ECU,2023,47.26227011666666
ECU,2024,45.47226978333333
PER,2000,45.07653451666666
PER,2002,47.974399749999996
PER,2003,47.85071704999999
PER,2004,48.42945128333333
PER,2005,48.437185449999994
PER,2006,50.1184088
PER,2007,50.43351214999999
PER,2008,50.45906795
PER,2009,50.35218296666667
PER,2010,52.076899966666666
PER,2011,52.87150256666666
PER,2012,52.224830516666664
PER,2013,51.54743873333333
PER,2014,51.607543166666666
PER,2015,52.24352646666666
PER,2016,53.48671163333333
PER,2017,53.30201726666667
PER,2018,53.15047045
PER,2019,54.47393078333334
PER,2020,53.17377908333333
PER,2021,52.131882983333334
PER,2022,50.51248591666666
PER,2023,50.08082285
PER,2024,49.58471171666667
VEN,2000,42.894742433333334
VEN,2002,36.35360618333333
VEN,2003,36.19188885
VEN,2004,36.48780166666666
VEN,2005,36.95172916666667
VEN,2006,35.69860455
VEN,2007,34.1463098
VEN,2008,33.18207833333333
VEN,2009,33.71498166666667
VEN,2010,32.39720761666667
VEN,2011,33.109031716666664
VEN,2012,32.77905235
VEN,2013,31.172532116666662
VEN,2014,30.068980083333333
VEN,2015,29.172213216666666
VEN,2016,28.79841801666667
VEN,2017,27.462250049999998
VEN,2018,23.819372266666665
VEN,2019,23.4476138
VEN,2020,23.809497066666665
VEN,2021,24.347235166666664
VEN,2022,25.479927383333333
VEN,2023,26.180388866666664
VEN,2024,23.94001985
