archivo,variable,año,valor_local,valor_oficial,tolerancia_absoluta,coincide,evidencia
imf.csv,cuenta_corriente_pct_pib,2004,13.8,13.825,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2005,17.7,17.749,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2006,14.8,14.823,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2007,5.8,5.782,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2008,10.2,10.202,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2009,0.2,0.16,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2010,1.8,1.755,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2011,5.2,5.164,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2012,0.7,0.694,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2013,1.8,1.778,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2014,2.3,2.291,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2015,-12.8,-12.795,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2016,-3.4,-3.427,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2017,7.5,7.513,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2018,8.4,8.442,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2019,5.9,5.884,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2020,-3.2,-3.228,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2021,-0.9,-0.945,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2022,4.0,4.033,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2023,5.8,5.826,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2024,4.1,4.093,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2025,2.6,2.566,0.0500001,True,weo_apr2026.xlsx
imf.csv,cuenta_corriente_pct_pib,2026,7.1,7.076,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2000,3.7,3.687,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2001,3.4,3.394,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2002,-8.9,-8.856,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2003,-7.8,-7.755,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2004,18.3,18.287,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2005,10.3,10.318,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2006,9.9,9.872,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2007,8.8,8.754,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2008,5.3,5.278,0.0500001,True,weo_apr2026.xlsx
imf.csv,pib_crecimiento_imf_pct,2009,-3.2,-3.202,0.0500001,True,weo_apr2026.xlsx
