archivo_origen,variable,año,valor_verificado,raw_sha256,raw_canonical_lf_sha256,estado_observacion,fecha_publicacion,evidencia,evidence_sha256,url
imf.csv,inflacion_ipc_imf_pct,2000,16.2,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2001,12.5,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2002,22.4,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2003,31.1,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2004,21.7,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2005,16.0,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2006,13.7,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2007,18.7,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2008,31.4,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2009,26.0,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
imf.csv,inflacion_ipc_imf_pct,2010,28.2,a1810ac89320236c7e5653b7db32d2f34bee7eb35357a65296deb4fd594d4370,33aeeb8b241ba2e4a5570972f2524b1607d4f1dac0d6a827c8eb21c8dab2b1b0,WEO_historico_segun_proveedor_revisable,2026-04-14T13:00:00Z,weo_apr2026.xlsx,b29239cb48f8b895d1e526070c4fde01147bc8f6bd3b86f636363bb6bd87fe7a,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx
