año,indicador,valor,pais,fuente
2000,ghi_score,14.6,Venezuela,Welthungerhilfe / Concern Worldwide — Global Hunger Index. https://www.globalhungerindex.org/
2006,ghi_score,11.2,Venezuela,Welthungerhilfe / Concern Worldwide — Global Hunger Index. https://www.globalhungerindex.org/
2012,ghi_score,7.4,Venezuela,Welthungerhilfe / Concern Worldwide — Global Hunger Index. https://www.globalhungerindex.org/
2021,ghi_score,22.2,Venezuela,Welthungerhilfe / Concern Worldwide — Global Hunger Index. https://www.globalhungerindex.org/
