año,indicador,valor,pais,fuente
2021,esperanza_vida_anos,71.5364,Venezuela,OWID via UN WPP — Life expectancy at birth. https://ourworldindata.org/grapher/life-expectancy
2022,esperanza_vida_anos,72.5656,Venezuela,OWID via UN WPP — Life expectancy at birth. https://ourworldindata.org/grapher/life-expectancy
2023,esperanza_vida_anos,72.5142,Venezuela,OWID via UN WPP — Life expectancy at birth. https://ourworldindata.org/grapher/life-expectancy
2000,exportaciones_pct_pib,47.85722,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2001,exportaciones_pct_pib,42.14127,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2002,exportaciones_pct_pib,48.57571,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2003,exportaciones_pct_pib,50.577007,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2004,exportaciones_pct_pib,55.367455,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2005,exportaciones_pct_pib,60.12733,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2006,exportaciones_pct_pib,58.665592,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2007,exportaciones_pct_pib,56.199097,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2008,exportaciones_pct_pib,51.829014,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2009,exportaciones_pct_pib,38.52093,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2010,exportaciones_pct_pib,46.136894,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2011,exportaciones_pct_pib,49.638123,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2012,exportaciones_pct_pib,50.648582,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2013,exportaciones_pct_pib,62.479523,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2014,exportaciones_pct_pib,64.20744,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2015,exportaciones_pct_pib,60.288845,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2016,exportaciones_pct_pib,41.307217,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2017,exportaciones_pct_pib,42.582935,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2018,exportaciones_pct_pib,54.645065,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2019,exportaciones_pct_pib,58.12929,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2020,exportaciones_pct_pib,26.091234,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2021,exportaciones_pct_pib,29.22634,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2022,exportaciones_pct_pib,27.898277,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2023,exportaciones_pct_pib,28.094608,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2024,exportaciones_pct_pib,26.081165,Venezuela,OWID via World Bank WDI — Trade (% of GDP). https://ourworldindata.org/grapher/trade-as-share-of-gdp
2000,mortalidad_infantil_x1000,1.7532659,Venezuela,OWID via UN IGME — Infant mortality rate. https://ourworldindata.org/grapher/infant-mortality
