año,mes,variable,valor,fuente
2020,9,acled_eventos_total,345,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2020,10,acled_eventos_total,636,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2020,11,acled_eventos_total,423,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2020,12,acled_eventos_total,296,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,1,acled_eventos_total,335,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,2,acled_eventos_total,284,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,3,acled_eventos_total,286,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,4,acled_eventos_total,245,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,5,acled_eventos_total,411,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,6,acled_eventos_total,356,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,7,acled_eventos_total,352,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,8,acled_eventos_total,276,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,9,acled_eventos_total,240,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,10,acled_eventos_total,191,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,11,acled_eventos_total,251,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2021,12,acled_eventos_total,194,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,1,acled_eventos_total,263,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,2,acled_eventos_total,259,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,3,acled_eventos_total,377,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,4,acled_eventos_total,273,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,5,acled_eventos_total,274,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,6,acled_eventos_total,240,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,7,acled_eventos_total,229,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
2022,8,acled_eventos_total,320,"ACLED — Armed Conflict Location & Event Data Project, API oficial (acleddata.com), eventos Venezuela agregados por mes. Raleigh, Kishi & Linke (2023)."
